map_type,scenario,agents,solved,soc,makespan,comp_time_ms
corridor_speed,corridor_speed_77_00.scen,10,True,661,113,16.0
corridor_speed,corridor_speed_77_01.scen,10,True,956,194,30.0
corridor_speed,corridor_speed_77_02.scen,10,True,864,140,17.0
corridor_speed,corridor_speed_77_03.scen,10,True,657,121,14.0
corridor_speed,corridor_speed_77_04.scen,10,True,1773,351,59.0
corridor_speed,corridor_speed_77_05.scen,10,True,463,70,10.0
corridor_speed,corridor_speed_77_06.scen,10,True,383,73,10.0
corridor_speed,corridor_speed_77_07.scen,10,True,1208,199,31.0
corridor_speed,corridor_speed_77_08.scen,10,True,555,105,9.0
corridor_speed,corridor_speed_77_09.scen,10,True,475,79,9.0
corridor_speed,corridor_speed_77_10.scen,10,True,2860,488,2000.0
corridor_speed,corridor_speed_77_11.scen,10,True,410,66,9.0
corridor_speed,corridor_speed_77_12.scen,10,True,521,102,18.0
corridor_speed,corridor_speed_77_13.scen,10,True,693,133,23.0
corridor_speed,corridor_speed_77_14.scen,10,True,1310,214,21.0
corridor_speed,corridor_speed_77_15.scen,10,True,988,165,28.0
corridor_speed,corridor_speed_77_16.scen,10,True,779,156,17.0
corridor_speed,corridor_speed_77_17.scen,10,True,576,98,12.0
corridor_speed,corridor_speed_77_18.scen,10,True,704,121,14.0
corridor_speed,corridor_speed_77_19.scen,10,True,666,88,12.0
corridor_speed,corridor_speed_77_20.scen,10,True,474,109,15.0
corridor_speed,corridor_speed_77_21.scen,10,True,650,140,17.0
corridor_speed,corridor_speed_77_22.scen,10,True,746,127,14.0
corridor_speed,corridor_speed_77_23.scen,10,True,1347,237,112.0
corridor_speed,corridor_speed_77_24.scen,10,True,1042,166,34.0
intersection,intersection_77_00.scen,10,True,1500,214,49.0
intersection,intersection_77_01.scen,10,True,1770,348,619.0
intersection,intersection_77_02.scen,10,True,903,157,17.0
intersection,intersection_77_03.scen,10,True,700,114,12.0
intersection,intersection_77_04.scen,10,True,801,121,15.0
intersection,intersection_77_05.scen,10,True,1757,243,48.0
intersection,intersection_77_06.scen,10,True,1342,215,32.0
intersection,intersection_77_07.scen,10,True,1159,200,20.0
intersection,intersection_77_08.scen,10,True,1524,331,93.0
intersection,intersection_77_09.scen,10,True,3375,381,112.0
intersection,intersection_77_10.scen,10,True,2129,267,51.0
intersection,intersection_77_11.scen,10,True,1327,215,211.0
intersection,intersection_77_12.scen,10,True,856,130,15.0
intersection,intersection_77_13.scen,10,True,857,110,11.0
intersection,intersection_77_14.scen,10,True,3085,452,3280.0
intersection,intersection_77_15.scen,10,True,1134,180,38.0
intersection,intersection_77_16.scen,10,True,1594,212,25.0
intersection,intersection_77_17.scen,10,True,687,116,14.0
intersection,intersection_77_18.scen,10,True,1894,259,74.0
intersection,intersection_77_19.scen,10,True,1378,203,51.0
intersection,intersection_77_20.scen,10,False,0,0,61229.0
intersection,intersection_77_21.scen,10,True,1469,247,28.0
intersection,intersection_77_22.scen,10,True,1731,229,43.0
intersection,intersection_77_23.scen,10,True,1694,242,52.0
intersection,intersection_77_24.scen,10,True,2674,347,51.0
cooperative_clearing,cooperative_clearing_77_00.scen,10,True,1483,242,24.0
cooperative_clearing,cooperative_clearing_77_01.scen,10,False,0,0,61270.0
cooperative_clearing,cooperative_clearing_77_02.scen,10,True,1264,204,737.0
cooperative_clearing,cooperative_clearing_77_03.scen,10,True,2803,437,24335.0
cooperative_clearing,cooperative_clearing_77_04.scen,10,True,2279,350,43.0
cooperative_clearing,cooperative_clearing_77_05.scen,10,True,1853,272,39027.0
cooperative_clearing,cooperative_clearing_77_06.scen,10,False,0,0,60703.0
cooperative_clearing,cooperative_clearing_77_07.scen,10,False,0,0,60801.0
cooperative_clearing,cooperative_clearing_77_08.scen,10,True,1112,160,17.0
cooperative_clearing,cooperative_clearing_77_09.scen,10,True,1845,374,120.0
cooperative_clearing,cooperative_clearing_77_10.scen,10,False,0,0,61384.0
cooperative_clearing,cooperative_clearing_77_11.scen,10,False,0,0,61318.0
cooperative_clearing,cooperative_clearing_77_12.scen,10,False,0,0,61275.0
cooperative_clearing,cooperative_clearing_77_13.scen,10,True,1831,281,34.0
cooperative_clearing,cooperative_clearing_77_14.scen,10,True,1139,170,28.0
cooperative_clearing,cooperative_clearing_77_15.scen,10,True,2003,354,417.0
cooperative_clearing,cooperative_clearing_77_16.scen,10,False,0,0,60849.0
cooperative_clearing,cooperative_clearing_77_17.scen,10,True,1728,287,44.0
cooperative_clearing,cooperative_clearing_77_18.scen,10,True,2328,362,319.0
cooperative_clearing,cooperative_clearing_77_19.scen,10,True,2732,327,57.0
cooperative_clearing,cooperative_clearing_77_20.scen,10,False,0,0,60717.0
cooperative_clearing,cooperative_clearing_77_21.scen,10,True,2408,377,5192.0
cooperative_clearing,cooperative_clearing_77_22.scen,10,True,2684,443,312.0
cooperative_clearing,cooperative_clearing_77_23.scen,10,False,0,0,60426.0
cooperative_clearing,cooperative_clearing_77_24.scen,10,True,3554,609,19351.0
