map_type,agents,seed,solved,soc,makespan,comp_time_ms
intersection,5,0,True,259,84,6.0
intersection,5,1,True,199,70,5.0
intersection,5,2,True,182,56,2.0
intersection,5,3,True,262,77,2.0
intersection,5,4,True,214,70,12030.0
intersection,5,5,True,221,63,3.0
intersection,5,6,True,285,77,6.0
intersection,5,7,True,358,110,14.0
intersection,5,8,True,252,77,6.0
intersection,5,9,True,234,77,6.0
intersection,5,10,True,248,70,6.0
intersection,5,11,True,458,130,28186.0
intersection,5,12,True,188,70,3.0
intersection,5,13,True,188,49,2.0
intersection,5,14,True,184,49,2.0
intersection,5,15,True,266,80,3.0
intersection,5,16,True,186,63,2.0
intersection,5,17,True,152,63,2.0
intersection,5,18,True,377,108,5.0
intersection,5,19,True,282,73,3.0
intersection,5,20,True,272,90,2.0
intersection,5,21,True,211,70,3.0
intersection,5,22,True,181,61,2.0
intersection,5,23,True,301,95,7273.0
intersection,5,24,True,688,189,16559.0
intersection,10,0,True,568,88,5.0
intersection,10,1,True,567,75,5.0
intersection,10,2,True,1377,213,78.0
intersection,10,3,False,0,0,61837.0
intersection,10,4,True,686,97,5.0
intersection,10,5,True,1630,255,4058.0
intersection,10,6,False,0,0,62760.0
intersection,10,7,True,473,74,7.0
intersection,10,8,False,0,0,61955.0
intersection,10,9,True,601,108,42386.0
intersection,10,10,True,616,93,5.0
intersection,10,11,True,806,122,20.0
intersection,10,12,False,0,0,62856.0
intersection,10,13,True,518,84,4.0
intersection,10,14,False,0,0,62561.0
intersection,10,15,True,679,98,4.0
intersection,10,16,True,773,167,56756.0
intersection,10,17,False,0,0,62705.0
intersection,10,18,True,1217,215,30.0
intersection,10,19,True,642,85,12.0
intersection,10,20,True,686,118,8.0
intersection,10,21,True,883,165,42.0
intersection,10,22,True,403,70,8.0
intersection,10,23,True,621,115,24628.0
intersection,10,24,True,1035,185,33746.0
intersection,15,0,True,1869,214,20.0
intersection,15,1,False,0,0,61077.0
intersection,15,2,True,1056,112,18.0
intersection,15,3,False,0,0,61545.0
intersection,15,4,False,0,0,62408.0
intersection,15,5,True,1489,165,29.0
intersection,15,6,False,0,0,62195.0
intersection,15,7,True,873,78,14.0
intersection,15,8,False,0,0,61633.0
intersection,15,9,False,0,0,61353.0
intersection,15,10,True,2887,293,187.0
intersection,15,11,True,1117,114,9.0
intersection,15,12,True,1458,188,25.0
intersection,15,13,True,843,84,6.0
intersection,15,14,True,1029,163,15.0
intersection,15,15,True,972,135,9.0
intersection,15,16,True,1260,238,50046.0
intersection,15,17,True,719,74,5.0
intersection,15,18,False,0,0,61886.0
intersection,15,19,False,0,0,62427.0
intersection,15,20,True,1346,180,20.0
intersection,15,21,True,1733,227,7284.0
intersection,15,22,True,953,119,12.0
intersection,15,23,False,0,0,61401.0
intersection,15,24,False,0,0,62133.0
intersection,20,0,True,2150,187,36717.0
intersection,20,1,False,0,0,60999.0
intersection,20,2,True,2977,276,120.0
intersection,20,3,False,0,0,60933.0
intersection,20,4,True,7204,511,587.0
intersection,20,5,True,2047,177,76.0
intersection,20,6,False,0,0,61964.0
intersection,20,7,False,0,0,61951.0
intersection,20,8,True,2846,313,22125.0
intersection,20,9,False,0,0,61155.0
intersection,20,10,False,0,0,61285.0
intersection,20,11,False,0,0,61194.0
intersection,20,12,True,7021,506,773.0
intersection,20,13,False,0,0,61327.0
intersection,20,14,False,0,0,61797.0
intersection,20,15,True,2560,330,60.0
intersection,20,16,False,0,0,61556.0
intersection,20,17,False,0,0,61817.0
intersection,20,18,False,0,0,61764.0
intersection,20,19,False,0,0,62009.0
intersection,20,20,True,1598,177,21.0
intersection,20,21,False,0,0,60979.0
intersection,20,22,True,1299,148,35.0
intersection,20,23,False,0,0,61482.0
intersection,20,24,False,0,0,61736.0
intersection,25,0,False,0,0,60465.0
intersection,25,1,False,0,0,60529.0
intersection,25,2,True,3525,261,10723.0
intersection,25,3,False,0,0,60587.0
