map_type,agents,seed,solved,soc,makespan,comp_time_ms
corridor_speed,5,0,True,1052,308,8.0
corridor_speed,5,1,True,821,231,10.0
corridor_speed,5,2,True,2113,600,121.0
corridor_speed,5,3,True,1123,315,12.0
corridor_speed,5,4,True,910,224,11.0
corridor_speed,5,5,True,851,218,16.0
corridor_speed,5,6,True,816,269,11.0
corridor_speed,5,7,True,929,287,8.0
corridor_speed,5,8,True,791,217,5.0
corridor_speed,5,9,True,838,273,11.0
corridor_speed,5,10,True,703,168,5.0
corridor_speed,5,11,True,897,301,11.0
corridor_speed,5,12,True,1040,322,12.0
corridor_speed,5,13,True,1226,329,14.0
corridor_speed,5,14,True,958,252,12.0
corridor_speed,5,15,True,971,259,11.0
corridor_speed,5,16,True,767,238,7.0
corridor_speed,5,17,True,801,224,11.0
corridor_speed,5,18,True,861,280,7.0
corridor_speed,5,19,True,1027,266,7.0
corridor_speed,5,20,True,744,189,9.0
corridor_speed,5,21,True,1104,287,8.0
corridor_speed,5,22,True,621,154,8.0
corridor_speed,5,23,True,1180,315,14.0
corridor_speed,5,24,True,1273,360,18.0
corridor_speed,10,0,True,2925,490,75.0
corridor_speed,10,1,True,5117,774,198.0
corridor_speed,10,2,True,3817,601,140.0
corridor_speed,10,3,True,2036,336,14.0
corridor_speed,10,4,True,2789,459,60.0
corridor_speed,10,5,True,6715,874,1452.0
corridor_speed,10,6,True,2461,386,48.0
corridor_speed,10,7,True,3555,591,50.0
corridor_speed,10,8,True,1736,217,8.0
corridor_speed,10,9,True,2333,417,21.0
corridor_speed,10,10,True,2528,404,27.0
corridor_speed,10,11,True,2596,463,38.0
corridor_speed,10,12,True,2821,442,51.0
corridor_speed,10,13,True,1916,329,20.0
corridor_speed,10,14,True,2451,436,38.0
corridor_speed,10,15,True,2574,431,38.0
corridor_speed,10,16,True,1587,238,10.0
corridor_speed,10,17,True,1774,266,17.0
corridor_speed,10,18,True,3574,552,59.0
corridor_speed,10,19,True,2114,399,65.0
corridor_speed,10,20,True,1645,236,23.0
corridor_speed,10,21,True,3117,575,57.0
corridor_speed,10,22,True,1524,220,14.0
corridor_speed,10,23,True,2056,315,18.0
corridor_speed,10,24,True,2081,369,29.0
corridor_speed,15,0,True,3603,489,103.0
corridor_speed,15,1,True,7023,742,217.0
corridor_speed,15,2,True,8009,858,530.0
corridor_speed,15,3,True,7224,904,600.0
corridor_speed,15,4,True,5284,542,136.0
corridor_speed,15,5,True,10927,1119,750.0
corridor_speed,15,6,True,7696,766,271.0
corridor_speed,15,7,True,5155,654,65.0
corridor_speed,15,8,True,2422,231,17.0
corridor_speed,15,9,True,5857,680,104.0
corridor_speed,15,10,True,2063,225,15.0
corridor_speed,15,11,True,3090,347,35.0
corridor_speed,15,12,True,6990,741,183.0
corridor_speed,15,13,True,4406,515,88.0
corridor_speed,15,14,True,7032,705,99.0
corridor_speed,15,15,True,6789,742,84.0
corridor_speed,15,16,True,3374,403,39.0
corridor_speed,15,17,True,4829,558,53.0
corridor_speed,15,18,True,5890,695,294.0
corridor_speed,15,19,True,9131,800,197.0
corridor_speed,15,20,True,3496,389,40.0
