map_type,seed,agents,solved,goals_reached,goals_total,soc,makespan,comp_time_ms
corridor_speed,0,25,True,18,25,8297,1003,1735.6
corridor_speed,1,25,True,17,25,3006,772,60154.8
corridor_speed,2,25,True,22,25,3528,1001,1465.4
corridor_speed,3,25,True,18,25,2744,263,60170.5
corridor_speed,4,25,True,22,25,5575,1004,2204.0
corridor_speed,5,25,True,20,25,3714,1001,2686.6
corridor_speed,6,25,True,18,25,7834,1005,2538.0
corridor_speed,7,25,True,16,25,7068,1001,7375.7
corridor_speed,8,25,True,21,25,6334,1001,772.6
corridor_speed,9,25,True,18,25,4601,1002,5032.7
corridor_speed,10,25,True,22,25,5213,1005,557.2
corridor_speed,11,25,True,15,25,3822,1001,15419.7
corridor_speed,12,25,True,25,25,3178,266,324.4
corridor_speed,13,25,True,22,25,3733,1001,1065.4
corridor_speed,14,25,True,20,25,11572,1003,3580.1
corridor_speed,15,25,True,18,25,10761,1007,1884.0
corridor_speed,16,25,True,14,25,7960,1006,4580.7
corridor_speed,17,25,True,20,25,4848,1002,2472.1
corridor_speed,18,25,True,17,25,5008,1001,6908.1
corridor_speed,19,25,True,25,25,3933,418,310.5
corridor_speed,20,25,True,17,25,3205,611,60158.1
corridor_speed,21,25,True,19,25,4316,1002,19205.0
corridor_speed,22,25,True,15,25,8806,1002,9407.1
corridor_speed,23,25,True,20,25,5071,1001,4446.8
corridor_speed,24,25,True,16,25,7237,1004,14069.5
intersection,0,25,True,25,25,5971,310,473.4
intersection,1,25,True,22,25,1766,123,1677.0
intersection,2,25,True,25,25,1388,99,113.7
intersection,3,25,True,20,25,16945,1002,1569.4
intersection,4,25,True,12,25,21902,1003,2223.3
intersection,5,25,True,20,25,4992,1001,1549.6
intersection,6,25,True,23,25,5067,1001,452.1
intersection,7,25,True,20,25,3628,1002,11931.4
intersection,8,25,True,22,25,4615,1002,333.1
intersection,9,25,True,13,25,19415,1005,1659.8
intersection,10,25,True,17,25,16970,1002,10243.0
intersection,11,25,True,16,25,6585,1001,8212.3
intersection,12,25,True,18,25,14804,1006,1494.3
intersection,13,25,True,22,25,8255,1002,480.9
intersection,14,25,True,21,25,8479,1004,1319.8
intersection,15,25,True,23,25,1724,109,734.2
intersection,16,25,True,24,25,6449,1001,846.5
intersection,17,25,True,17,25,21261,1003,1597.8
intersection,18,25,True,23,25,4480,213,786.6
intersection,19,25,True,20,25,10134,1004,1312.3
intersection,20,25,True,18,25,6762,1004,3172.5
intersection,21,25,True,16,25,16117,1005,1074.6
intersection,22,25,True,25,25,5039,269,1717.9
intersection,23,25,True,18,25,23019,1002,8024.7
intersection,24,25,True,18,25,5635,1001,3217.8
cooperative_clearing,0,25,True,1,25,24945,1005,7704.3
cooperative_clearing,1,25,True,25,25,3776,184,4280.5
cooperative_clearing,2,25,True,22,25,3634,1001,1780.5
cooperative_clearing,3,25,True,19,25,8189,1002,10942.2
cooperative_clearing,4,25,True,25,25,2737,158,518.3
cooperative_clearing,5,25,True,19,25,3521,671,60124.5
cooperative_clearing,6,25,True,0,25,25032,1003,9375.7
cooperative_clearing,7,25,True,25,25,3200,182,333.8
cooperative_clearing,8,25,True,25,25,3256,182,931.5
cooperative_clearing,9,25,True,25,25,3211,243,349.2
cooperative_clearing,10,25,True,21,25,8830,453,7577.0
cooperative_clearing,11,25,True,25,25,3016,154,215.6
cooperative_clearing,12,25,True,10,25,17001,1007,5031.2
cooperative_clearing,13,25,True,20,25,3366,198,11267.5
cooperative_clearing,14,25,True,0,25,21534,1002,44929.1
cooperative_clearing,15,25,True,1,25,24201,1002,8323.7
cooperative_clearing,16,25,True,18,25,2936,173,37999.1
cooperative_clearing,17,25,True,25,25,3495,184,677.4
cooperative_clearing,18,25,True,25,25,7529,387,1330.9
cooperative_clearing,19,25,True,0,25,25056,1007,8629.1
cooperative_clearing,20,25,True,18,25,3702,175,9073.0
cooperative_clearing,21,25,True,5,25,22020,1004,4256.4
cooperative_clearing,22,25,True,1,25,24137,1002,8181.9
cooperative_clearing,23,25,True,0,25,762,42,60549.7
cooperative_clearing,24,25,True,25,25,3218,160,370.5
bottleneck_doors,0,25,True,25,25,2138,161,157.0
bottleneck_doors,1,25,True,25,25,2106,173,117.3
bottleneck_doors,2,25,True,25,25,2159,158,112.1
bottleneck_doors,3,25,True,25,25,2473,151,154.9
bottleneck_doors,4,25,True,25,25,2135,146,153.5
bottleneck_doors,5,25,True,25,25,2217,139,117.9
bottleneck_doors,6,25,True,25,25,2069,152,140.7
bottleneck_doors,7,25,True,18,25,3765,1001,8206.4
bottleneck_doors,8,25,True,25,25,1868,139,121.3
bottleneck_doors,9,25,True,25,25,1680,150,108.8
bottleneck_doors,10,25,True,25,25,2154,176,169.4
bottleneck_doors,11,25,True,25,25,1537,131,109.2
bottleneck_doors,12,25,True,25,25,2003,164,117.9
bottleneck_doors,13,25,True,25,25,2276,135,208.9
bottleneck_doors,14,25,True,25,25,2537,177,129.8
bottleneck_doors,15,25,True,25,25,2014,139,134.6
bottleneck_doors,16,25,True,25,25,1871,134,131.3
bottleneck_doors,17,25,True,25,25,2402,191,156.0
bottleneck_doors,18,25,True,25,25,2272,125,135.1
bottleneck_doors,19,25,True,25,25,1985,154,155.9
bottleneck_doors,20,25,True,25,25,1969,162,155.5
bottleneck_doors,21,25,True,25,25,2479,166,144.2
bottleneck_doors,22,25,True,25,25,1852,146,118.8
bottleneck_doors,23,25,True,25,25,2000,174,187.5
bottleneck_doors,24,25,True,25,25,2276,161,163.6
