map_type,seed,agents,goals_reached,goals_total,goal_pct,SOC,makespan,time_ms
intersection_105,00,5,3,5,60.0,43,10,61
intersection_105,01,5,3,5,60.0,84,22,61
intersection_105,02,5,5,5,100.0,50,12,6
intersection_105,03,5,5,5,100.0,73,19,12
intersection_105,04,5,3,5,60.0,53,13,61
intersection_105,00,10,6,10,60.0,306,45,61
intersection_105,01,10,3,10,30.0,158,25,68
intersection_105,02,10,8,10,80.0,133,30,61
intersection_105,03,10,2,10,20.0,352,48,64
intersection_105,04,10,6,10,60.0,375,61,64
intersection_105,00,15,13,15,86.7,604,74,61
intersection_105,01,15,4,15,26.7,187,18,95
intersection_105,02,15,3,15,20.0,137,11,97
intersection_105,03,15,5,15,33.3,355,32,66
intersection_105,04,15,10,15,66.7,651,67,61
intersection_105,00,20,3,20,15.0,406,26,79
intersection_105,01,20,5,20,25.0,936,50,61
intersection_105,02,20,11,20,55.0,601,40,62
intersection_105,03,20,5,20,25.0,647,36,61
intersection_105,04,20,14,20,70.0,1180,81,61
intersection_105,00,25,5,25,20.0,875,47,70
intersection_105,01,25,10,25,40.0,831,46,63
intersection_105,02,25,17,25,68.0,1259,65,61
intersection_105,03,25,7,25,28.0,684,35,64
intersection_105,04,25,3,25,12.0,588,33,150
cooperative_clearing_105,00,5,0,5,0.0,62,15,73
cooperative_clearing_105,01,5,1,5,20.0,66,16,68
cooperative_clearing_105,02,5,5,5,100.0,155,43,8
cooperative_clearing_105,03,5,1,5,20.0,75,19,63
cooperative_clearing_105,04,5,0,5,0.0,60,13,61
cooperative_clearing_105,00,10,0,10,0.0,152,18,97
cooperative_clearing_105,01,10,0,10,0.0,143,19,66
cooperative_clearing_105,02,10,0,10,0.0,248,30,61
cooperative_clearing_105,03,10,7,10,70.0,464,65,62
cooperative_clearing_105,04,10,1,10,10.0,156,19,91
cooperative_clearing_105,00,15,0,15,0.0,369,26,65
cooperative_clearing_105,01,15,0,15,0.0,182,17,81
cooperative_clearing_105,02,15,11,15,73.3,947,85,61
cooperative_clearing_105,03,15,0,15,0.0,456,36,78
cooperative_clearing_105,04,15,0,15,0.0,184,16,169
cooperative_clearing_105,00,20,0,20,0.0,291,18,65
cooperative_clearing_105,01,20,0,20,0.0,210,13,86
cooperative_clearing_105,02,20,12,20,60.0,1599,107,61
cooperative_clearing_105,03,20,0,20,0.0,768,44,65
cooperative_clearing_105,04,20,1,20,5.0,304,17,242
cooperative_clearing_105,00,25,0,25,0.0,366,18,99
cooperative_clearing_105,01,25,0,25,0.0,312,17,89
cooperative_clearing_105,02,25,2,25,8.0,858,38,61
cooperative_clearing_105,03,25,0,25,0.0,904,38,61
cooperative_clearing_105,04,25,1,25,4.0,389,17,222
