agent_count,seed,n_placed,placement_ok,n_cs1,n_cs6,n_cs11,max_steps,max_bfs_dist,goals_reached,goal_pct,goals_cs1,total_cs1,pct_cs1,goals_cs6,total_cs6,pct_cs6,goals_cs11,total_cs11,pct_cs11,soc,makespan,wait_pct,comp_time_ms,stuck_cs1,stuck_cs6,stuck_cs11,no_move_cs1,no_move_cs6,no_move_cs11,feasible,status
15,0,15,yes,8,4,3,1584,792,13,86.7,8,8,100.0,2,4,50.0,3,3,100.0,3580,793,3.8,1906.0,0,2,0,0,0,0,1,OK
15,1,15,yes,8,4,3,2358,1179,15,100.0,8,8,100.0,4,4,100.0,3,3,100.0,5324,1180,6.4,200.0,0,0,0,0,0,0,1,OK
15,2,15,yes,8,4,3,2402,1201,15,100.0,8,8,100.0,4,4,100.0,3,3,100.0,5279,1202,7.7,208.0,0,0,0,0,0,0,1,OK
15,3,15,yes,8,4,3,2046,1023,15,100.0,8,8,100.0,4,4,100.0,3,3,100.0,5986,1026,6.6,305.0,0,0,0,0,0,0,1,OK
15,4,15,yes,8,4,3,2300,1150,15,100.0,8,8,100.0,4,4,100.0,3,3,100.0,6627,1151,4.2,277.0,0,0,0,0,0,0,1,OK
15,5,15,yes,8,4,3,1500,711,15,100.0,8,8,100.0,4,4,100.0,3,3,100.0,4162,712,5.0,198.0,0,0,0,0,0,0,1,OK
15,6,15,yes,8,4,3,2436,1218,15,100.0,8,8,100.0,4,4,100.0,3,3,100.0,6543,1221,4.4,271.0,0,0,0,0,0,0,1,OK
15,7,15,yes,8,4,3,2000,1000,15,100.0,8,8,100.0,4,4,100.0,3,3,100.0,4744,1001,6.9,214.0,0,0,0,0,0,0,1,OK
15,8,15,yes,8,4,3,2146,1073,15,100.0,8,8,100.0,4,4,100.0,3,3,100.0,4457,1074,4.4,215.0,0,0,0,0,0,0,1,OK
15,9,15,yes,8,4,3,1616,808,15,100.0,8,8,100.0,4,4,100.0,3,3,100.0,4449,809,5.4,237.0,0,0,0,0,0,0,1,OK
50,0,50,yes,25,15,10,1876,938,46,92.0,24,25,96.0,13,15,86.7,9,10,90.0,14287,1878,6.9,4547.0,1,2,1,0,0,0,1,OK
50,1,50,yes,25,15,10,2210,1105,44,88.0,23,25,92.0,11,15,73.3,10,10,100.0,12351,2214,8.2,25926.0,2,4,0,0,0,0,1,OK
50,2,50,yes,25,15,10,1968,984,49,98.0,25,25,100.0,14,15,93.3,10,10,100.0,16896,1969,6.4,1001.0,0,1,0,0,0,0,1,OK
50,3,50,yes,25,15,10,2310,1155,49,98.0,25,25,100.0,15,15,100.0,9,10,90.0,15325,2311,8.3,1585.0,0,0,1,0,0,0,1,OK
50,4,50,yes,25,15,10,2404,1202,48,96.0,25,25,100.0,13,15,86.7,10,10,100.0,22003,1467,15.4,13599.0,0,2,0,0,0,0,1,OK
50,5,50,yes,25,15,10,2084,1042,46,92.0,25,25,100.0,11,15,73.3,10,10,100.0,16081,1043,8.7,45686.0,0,4,0,0,0,0,1,OK
50,6,50,yes,25,15,10,2726,1363,45,90.0,23,25,92.0,12,15,80.0,10,10,100.0,15710,2727,7.2,44219.0,2,3,0,0,0,0,1,OK
50,7,50,yes,25,15,10,1816,908,49,98.0,25,25,100.0,15,15,100.0,9,10,90.0,14668,1818,7.3,1356.0,0,0,1,0,0,0,1,OK
50,8,50,yes,25,15,10,2220,1110,46,92.0,25,25,100.0,11,15,73.3,10,10,100.0,14426,1111,7.2,52365.0,0,4,0,0,0,0,1,OK
